,Sentiment
164,Positive
165,Neutral
166,Positive
167,Positive
168,Negative
169,Negative
170,Positive
171,Negative
172,Negative
173,Neutral
174,Negative
175,Neutral
176,Neutral
177,Neutral
178,Neutral
179,Neutral
180,Positive
181,Neutral
182,Negative
183,Positive
184,Positive
185,Negative
186,Neutral
187,Neutral
188,Neutral
189,Positive
190,Positive
191,Neutral
192,Negative
193,Neutral
194,Neutral
195,Positive
196,Negative
197,Negative
198,Negative
199,Negative
200,Positive
201,Negative
202,Neutral
203,Negative
204,Positive
205,Neutral
206,Positive
207,Neutral
208,Negative
209,Neutral
210,Negative
211,Negative
212,Neutral
213,Positive
214,Positive
215,Positive
216,Negative
217,Positive
218,Positive
219,Neutral
220,Negative
221,Neutral
222,Positive
223,Negative
224,Neutral
225,Neutral
226,Positive
227,Negative
228,Positive
229,Negative
230,Neutral
231,Positive
232,Neutral
233,Positive
234,Negative
235,Neutral
236,Neutral
237,Negative
238,Negative
239,Negative
240,Neutral
241,Negative
242,Negative
243,Negative
244,Neutral
245,Negative
246,Positive
247,Negative
248,Neutral
249,Neutral
250,Negative
251,Neutral
252,Negative
253,Positive
254,Neutral
255,Positive
256,Positive
257,Negative
258,Positive
259,Neutral
260,Neutral
261,Positive
262,Positive
263,Negative
264,Negative
265,Negative
266,Positive
267,Negative
268,Positive
269,Negative
270,Neutral
271,Negative
272,Negative
273,Positive
274,Neutral
275,Positive
276,Neutral
277,Positive
278,Negative
279,Positive
280,Neutral
281,Negative
282,Negative
283,Negative
284,Negative
285,Positive
286,Neutral
287,Negative
288,Positive
289,Negative
290,Negative
291,Positive
292,Neutral
293,Positive
294,Positive
295,Negative
296,Neutral
297,Positive
298,Negative
299,Negative
300,Negative
301,Negative
302,Positive
303,Neutral
304,Positive
305,Negative
306,Positive
307,Negative
308,Neutral
309,Negative
310,Neutral
311,Neutral
312,Neutral
313,Neutral
314,Neutral
315,Neutral
316,Positive
317,Neutral
318,Positive
319,Neutral
320,Positive
321,Neutral
322,Positive
323,Neutral
324,Negative
325,Negative
326,Positive
327,Positive
328,Neutral
329,Positive
330,Positive
331,Negative
332,Negative
333,Neutral
334,Negative
335,Negative
336,Positive
337,Neutral
338,Negative
339,Neutral
340,Positive
341,Negative
342,Positive
343,Positive
344,Neutral
345,Neutral
346,Neutral
347,Negative
348,Negative
349,Positive
350,Negative
351,Negative
352,Neutral
353,Neutral
354,Positive
355,Neutral
356,Negative
357,Negative
358,Positive
359,Positive
360,Negative
361,Positive
362,Positive
363,Positive
364,Negative
365,Neutral
366,Neutral
367,Positive
368,Neutral
369,Neutral
370,Neutral
371,Positive
372,Neutral
373,Neutral
374,Positive
375,Negative
376,Neutral
377,Positive
378,Neutral
379,Negative
380,Positive
381,Negative
382,Negative
383,Negative
384,Neutral
385,Negative
386,Positive
387,Neutral
388,Negative
389,Positive
390,Neutral
391,Negative
392,Negative
393,Neutral
394,Positive
395,Positive
396,Negative
397,Positive
398,Positive
399,Neutral
400,Neutral
401,Neutral
402,Positive
403,Negative
404,Neutral
405,Neutral
406,Neutral
407,Positive
408,Neutral
409,Neutral
410,Neutral
411,Negative
412,Neutral
413,Negative
414,Negative
415,Positive
416,Negative
417,Negative
418,Negative
419,Positive
420,Positive
421,Positive
422,Positive
423,Positive
424,Negative
425,Positive
426,Positive
427,Neutral
428,Neutral
429,Neutral
430,Positive
431,Positive
432,Neutral
433,Neutral
434,Negative
435,Negative
436,Positive
437,Positive
438,Neutral
439,Negative
440,Neutral
441,Positive
442,Neutral
443,Negative
444,Negative
445,Negative
446,Neutral
447,Positive
448,Positive
449,Neutral
450,Positive
451,Neutral
452,Neutral
453,Negative
454,Neutral
455,Neutral
456,Negative
457,Neutral
458,Neutral
459,Negative
460,Neutral
461,Neutral
462,Neutral
463,Negative
464,Neutral
465,Positive
466,Neutral
467,Positive
468,Neutral
469,Positive
470,Positive
471,Positive
472,Negative
473,Neutral
474,Negative
475,Negative
476,Neutral
477,Positive
478,Negative
479,Positive
480,Negative
481,Negative
482,Neutral
483,Negative
484,Negative
485,Positive
486,Positive
487,Positive
488,Positive
489,Positive
490,Positive
491,Positive
492,Negative
493,Negative
494,Neutral
495,Positive
496,Positive
497,Positive
498,Negative
499,Positive
500,Positive
501,Negative
502,Positive
503,Negative
504,Negative
505,Neutral
506,Negative
507,Positive
508,Negative
509,Negative
510,Neutral
511,Neutral
512,Positive
513,Negative
514,Neutral
515,Positive
516,Negative
517,Negative
518,Negative
519,Neutral
520,Positive
521,Negative
522,Negative
523,Negative
524,Positive
525,Neutral
526,Positive
527,Positive
528,Negative
529,Positive
530,Positive
531,Neutral
532,Negative
533,Positive
534,Neutral
535,Neutral
536,Negative
537,Neutral
538,Positive
539,Neutral
540,Neutral
541,Positive
542,Positive
543,Positive
544,Neutral
545,Neutral
546,Neutral
547,Positive
548,Neutral
549,Positive
550,Positive
551,Neutral
552,Positive
553,Positive
554,Neutral
555,Positive
556,Neutral
557,Positive
558,Negative
559,Positive
560,Neutral
561,Negative
562,Negative
563,Neutral
564,Positive
565,Negative
566,Neutral
567,Positive
568,Negative
569,Positive
570,Positive
571,Neutral
572,Positive
573,Positive
574,Positive
575,Negative
576,Positive
577,Positive
578,Negative
579,Negative
580,Positive
581,Negative
582,Negative
583,Neutral
584,Negative
585,Neutral
586,Positive
587,Neutral
588,Neutral
589,Neutral
590,Positive
591,Neutral
592,Positive
593,Neutral
594,Positive
595,Negative
596,Negative
597,Positive
598,Neutral
599,Positive
600,Neutral
601,Negative
602,Neutral
603,Negative
604,Positive
605,Positive
606,Negative
607,Positive
608,Neutral
609,Positive
610,Positive
611,Positive
612,Negative
613,Positive
614,Neutral
615,Negative
616,Negative
617,Negative
618,Positive
619,Negative
620,Neutral
621,Negative
622,Neutral
623,Neutral
624,Negative
625,Positive
626,Neutral
627,Negative
628,Negative
629,Neutral
630,Neutral
631,Positive
632,Positive
633,Positive
634,Positive
635,Neutral
636,Positive
637,Positive
638,Negative
639,Positive
640,Negative
641,Negative
642,Positive
643,Positive
644,Negative
645,Neutral
646,Neutral
647,Negative
648,Negative
649,Neutral
650,Positive
651,Negative
652,Negative
653,Neutral
654,Positive
655,Negative
656,Neutral
657,Neutral
658,Positive
659,Positive
660,Neutral
661,Positive
662,Positive
663,Positive
664,Neutral
665,Negative
666,Neutral
667,Neutral
668,Negative
669,Neutral
670,Neutral
671,Neutral
672,Positive
673,Positive
674,Neutral
675,Positive
676,Negative
677,Positive
678,Positive
679,Negative
680,Neutral
681,Negative
682,Neutral
683,Positive
684,Positive
685,Neutral
686,Neutral
687,Neutral
688,Negative
689,Negative
690,Negative
691,Negative
692,Positive
693,Neutral
694,Negative
695,Neutral
696,Negative
697,Neutral
698,Neutral
699,Neutral
700,Positive
701,Positive
702,Negative
703,Positive
704,Neutral
705,Neutral
706,Positive
707,Positive
708,Negative
709,Positive
710,Neutral
711,Negative
712,Negative
713,Positive
714,Positive
715,Positive
716,Negative
717,Positive
718,Negative
719,Negative
720,Neutral
721,Positive
722,Neutral
723,Negative
724,Positive
725,Negative
726,Positive
727,Positive
728,Neutral
729,Positive
730,Neutral
731,Neutral
732,Positive
733,Neutral
734,Positive
735,Neutral
736,Neutral
737,Positive
738,Negative
739,Negative
740,Negative
741,Positive
742,Positive
743,Neutral
744,Neutral
745,Negative
746,Positive
747,Negative
748,Neutral
749,Neutral
750,Neutral
751,Positive
752,Positive
753,Neutral
754,Neutral
755,Negative
756,Neutral
757,Positive
758,Neutral
759,Positive
760,Neutral
761,Negative
762,Positive
763,Positive
764,Positive
765,Positive
766,Neutral
767,Negative
768,Positive
769,Neutral
770,Negative
771,Neutral
772,Neutral
773,Positive
774,Negative
775,Positive
776,Positive
777,Negative
778,Positive
779,Neutral
780,Neutral
781,Neutral
782,Negative
783,Neutral
784,Neutral
785,Negative
786,Negative
787,Negative
788,Positive
789,Negative
790,Positive
791,Positive
792,Neutral
793,Negative
794,Positive
795,Negative
796,Neutral
797,Positive
798,Positive
799,Negative
800,Positive
801,Negative
802,Negative
803,Positive
804,Neutral
805,Neutral
806,Neutral
807,Positive
808,Positive
809,Neutral
810,Neutral
811,Positive
812,Positive
813,Negative
814,Positive
815,Negative
816,Positive
817,Negative
818,Positive
819,Negative
820,Neutral
821,Neutral
822,Negative
823,Positive
824,Neutral
825,Neutral
826,Negative
827,Negative
828,Negative
829,Neutral
830,Neutral
831,Negative
832,Negative
833,Negative
834,Positive
835,Positive
836,Negative
837,Negative
838,Negative
839,Negative
840,Negative
841,Negative
842,Positive
843,Positive
844,Positive
845,Positive
846,Neutral
847,Positive
848,Neutral
849,Positive
850,Negative
851,Positive
852,Neutral
853,Positive
854,Neutral
855,Positive
856,Positive
857,Positive
858,Negative
859,Positive
860,Positive
861,Neutral
862,Neutral
863,Negative
864,Neutral
865,Neutral
866,Negative
867,Positive
868,Negative
869,Neutral
870,Negative
871,Neutral
872,Positive
873,Neutral
874,Neutral
875,Neutral
876,Positive
877,Neutral
878,Positive
879,Negative
880,Neutral
881,Neutral
882,Positive
883,Positive
884,Negative
885,Neutral
886,Positive
887,Negative
888,Positive
889,Positive
890,Positive
891,Positive
892,Negative
893,Positive
894,Neutral
895,Neutral
896,Positive
897,Neutral
898,Negative
899,Neutral
900,Neutral
901,Negative
902,Positive
903,Neutral
904,Positive
905,Positive
906,Neutral
907,Positive
908,Positive
909,Positive
910,Neutral
911,Negative
912,Positive
913,Neutral
914,Negative
915,Negative
916,Positive
917,Neutral
918,Negative
919,Positive
920,Neutral
921,Neutral
922,Neutral
923,Neutral
924,Neutral
925,Neutral
926,Neutral
927,Neutral
928,Negative
929,Positive
930,Neutral
931,Negative
932,Positive
933,Negative
934,Positive
935,Neutral
936,Positive
937,Positive
938,Negative
939,Positive
940,Positive
941,Negative
942,Negative
943,Neutral
944,Positive
945,Negative
946,Negative
947,Positive
948,Negative
949,Neutral
950,Neutral
951,Negative
952,Neutral
953,Negative
954,Negative
955,Positive
956,Positive
957,Positive
958,Positive
959,Negative
960,Positive
961,Positive
962,Negative
963,Negative
964,Positive
965,Neutral
966,Negative
967,Negative
968,Negative
969,Negative
970,Positive
971,Negative
972,Neutral
973,Negative
974,Negative
975,Negative
976,Negative
977,Neutral
978,Negative
979,Positive
980,Negative
981,Negative
982,Negative
983,Negative
984,Positive
985,Positive
986,Negative
987,Negative
988,Positive
989,Negative
990,Neutral
991,Positive
992,Positive
993,Negative
994,Positive
995,Positive
996,Neutral
997,Neutral
998,Negative
999,Neutral
1000,Negative
1001,Negative
1002,Positive
1003,Positive
1004,Neutral
1005,Positive
1006,Positive
1007,Negative
1008,Positive
1009,Neutral
1010,Positive
1011,Neutral
1012,Negative
1013,Neutral
1014,Negative
1015,Positive
1016,Negative
1017,Neutral
1018,Positive
1019,Positive
1020,Negative
1021,Neutral
1022,Negative
1023,Positive
1024,Negative
1025,Positive
1026,Negative
1027,Negative
1028,Positive
1029,Positive
1030,Positive
1031,Negative
1032,Positive
1033,Neutral
1034,Positive
1035,Negative
1036,Positive
1037,Positive
1038,Neutral
1039,Negative
1040,Neutral
1041,Negative
1042,Positive
1043,Positive
1044,Positive
1045,Neutral
1046,Negative
1047,Positive
1048,Positive
1049,Positive
1050,Positive
1051,Negative
1052,Positive
1053,Negative
1054,Positive
1055,Neutral
1056,Positive
1057,Positive
1058,Positive
1059,Positive
1060,Neutral
1061,Positive
1062,Positive
1063,Negative
1064,Neutral
1065,Neutral
1066,Positive
1067,Neutral
1068,Positive
1069,Neutral
1070,Positive
1071,Positive
1072,Positive
1073,Positive
1074,Neutral
1075,Negative
1076,Neutral
1077,Neutral
1078,Neutral
1079,Neutral
1080,Negative
1081,Neutral
1082,Neutral
1083,Positive
1084,Negative
1085,Positive
1086,Neutral
1087,Negative
1088,Neutral
1089,Negative
1090,Neutral
1091,Negative
1092,Neutral
1093,Neutral
1094,Positive
1095,Positive
1096,Positive
1097,Negative
1098,Negative
1099,Negative
1100,Positive
1101,Negative
1102,Neutral
1103,Negative
1104,Positive
1105,Negative
1106,Neutral
1107,Neutral
1108,Neutral
1109,Negative
1110,Neutral
1111,Negative
1112,Neutral
1113,Positive
1114,Positive
1115,Negative
1116,Positive
1117,Positive
1118,Negative
1119,Negative
1120,Positive
1121,Negative
1122,Neutral
1123,Neutral
1124,Neutral
1125,Neutral
1126,Neutral
1127,Positive
1128,Negative
1129,Neutral
1130,Negative
1131,Negative
1132,Neutral
1133,Neutral
1134,Negative
1135,Negative
1136,Neutral
1137,Positive
1138,Negative
1139,Positive
1140,Positive
1141,Neutral
1142,Neutral
1143,Positive
1144,Neutral
1145,Negative
1146,Positive
1147,Neutral
1148,Positive
1149,Neutral
1150,Negative
1151,Neutral
1152,Negative
1153,Neutral
1154,Negative
1155,Positive
1156,Neutral
1157,Negative
1158,Positive
1159,Negative
1160,Neutral
1161,Positive
1162,Neutral
1163,Neutral
1164,Positive
1165,Neutral
1166,Neutral
1167,Positive
1168,Negative
1169,Positive
1170,Neutral
1171,Neutral
1172,Neutral
1173,Positive
1174,Neutral
1175,Positive
1176,Positive
1177,Positive
1178,Negative
1179,Positive
1180,Positive
1181,Negative
1182,Neutral
1183,Negative
1184,Positive
1185,Negative
1186,Positive
1187,Neutral
1188,Negative
1189,Negative
1190,Positive
1191,Positive
1192,Positive
1193,Positive
1194,Negative
1195,Positive
1196,Neutral
1197,Neutral
1198,Negative
1199,Positive
1200,Positive
1201,Positive
1202,Positive
1203,Negative
1204,Negative
1205,Negative
1206,Positive
1207,Negative
1208,Negative
1209,Negative
1210,Neutral
1211,Positive
1212,Negative
1213,Positive
1214,Negative
1215,Negative
1216,Positive
1217,Negative
1218,Neutral
1219,Positive
1220,Positive
1221,Positive
1222,Negative
1223,Positive
1224,Positive
1225,Neutral
1226,Positive
1227,Positive
1228,Neutral
1229,Neutral
1230,Neutral
1231,Positive
1232,Negative
1233,Neutral
1234,Positive
1235,Neutral
1236,Positive
1237,Negative
1238,Positive
1239,Positive
1240,Positive
1241,Positive
1242,Positive
1243,Positive
1244,Negative
1245,Positive
1246,Positive
1247,Neutral
1248,Neutral
1249,Negative
1250,Neutral
1251,Negative
1252,Neutral
1253,Positive
1254,Neutral
1255,Negative
1256,Positive
1257,Positive
1258,Neutral
1259,Positive
1260,Neutral
1261,Neutral
1262,Negative
1263,Negative
1264,Positive
1265,Positive
1266,Positive
1267,Positive
1268,Positive
1269,Positive
1270,Neutral
1271,Neutral
1272,Positive
1273,Neutral
1274,Positive
1275,Positive
1276,Positive
1277,Positive
1278,Neutral
1279,Neutral
1280,Neutral
1281,Neutral
1282,Positive
1283,Positive
1284,Negative
1285,Positive
1286,Positive
1287,Neutral
1288,Neutral
1289,Positive
1290,Positive
1291,Negative
1292,Negative
1293,Negative
1294,Neutral
1295,Negative
1296,Neutral
1297,Positive
1298,Positive
1299,Negative
1300,Neutral
1301,Negative
1302,Positive
1303,Positive
1304,Negative
1305,Positive
1306,Neutral
1307,Neutral
1308,Negative
1309,Negative
1310,Negative
1311,Negative
1312,Negative
1313,Positive
1314,Positive
1315,Neutral
1316,Neutral
1317,Positive
1318,Positive
1319,Negative
1320,Negative
1321,Neutral
1322,Neutral
1323,Negative
1324,Neutral
1325,Neutral
1326,Positive
1327,Negative
1328,Positive
1329,Negative
1330,Negative
1331,Negative
1332,Negative
1333,Negative
1334,Positive
1335,Positive
1336,Negative
1337,Neutral
1338,Neutral
1339,Neutral
1340,Negative
1341,Neutral
1342,Positive
1343,Positive
1344,Neutral
1345,Negative
1346,Neutral
1347,Positive
1348,Negative
1349,Neutral
1350,Negative
1351,Positive
1352,Negative
1353,Positive
1354,Negative
1355,Negative
1356,Positive
1357,Neutral
1358,Neutral
1359,Positive
1360,Negative
1361,Negative
1362,Positive
1363,Negative
1364,Neutral
1365,Neutral
1366,Negative
1367,Negative
1368,Positive
1369,Positive
1370,Neutral
1371,Negative
1372,Neutral
1373,Negative
1374,Negative
1375,Neutral
1376,Negative
1377,Positive
1378,Positive
1379,Positive
1380,Negative
1381,Positive
1382,Positive
1383,Positive
1384,Neutral
1385,Neutral
1386,Negative
1387,Negative
1388,Neutral
1389,Neutral
1390,Neutral
1391,Negative
1392,Neutral
1393,Neutral
1394,Neutral
1395,Positive
1396,Negative
1397,Negative
1398,Neutral
1399,Neutral
1400,Neutral
1401,Neutral
1402,Negative
1403,Positive
1404,Negative
1405,Neutral
1406,Negative
1407,Neutral
1408,Neutral
1409,Neutral
1410,Positive
1411,Positive
1412,Positive
1413,Positive
1414,Positive
1415,Neutral
1416,Positive
1417,Neutral
1418,Neutral
1419,Positive
1420,Neutral
1421,Positive
1422,Negative
1423,Positive
1424,Negative
1425,Positive
1426,Neutral
1427,Positive
1428,Positive
1429,Neutral
1430,Neutral
1431,Neutral
1432,Neutral
1433,Negative
1434,Negative
1435,Negative
1436,Neutral
1437,Negative
1438,Positive
1439,Neutral
1440,Negative
1441,Negative
1442,Negative
1443,Neutral
1444,Positive
1445,Positive
1446,Negative
1447,Positive
1448,Positive
1449,Negative
1450,Negative
1451,Neutral
1452,Neutral
1453,Positive
1454,Positive
1455,Positive
1456,Neutral
1457,Negative
1458,Neutral
1459,Negative
1460,Neutral
1461,Negative
1462,Negative
1463,Positive
1464,Neutral
1465,Neutral
1466,Neutral
1467,Neutral
1468,Negative
1469,Negative
1470,Positive
1471,Neutral
1472,Negative
1473,Positive
1474,Positive
1475,Negative
1476,Positive
1477,Positive
1478,Negative
1479,Positive
1480,Neutral
1481,Neutral
1482,Negative
1483,Neutral
1484,Negative
1485,Neutral
1486,Negative
1487,Positive
1488,Positive
1489,Positive
1490,Neutral
1491,Negative
1492,Neutral
1493,Positive
1494,Negative
1495,Positive
1496,Neutral
1497,Neutral
1498,Neutral
1499,Negative
1500,Positive
1501,Neutral
1502,Negative
1503,Negative
1504,Neutral
1505,Negative
1506,Negative
1507,Neutral
1508,Positive
1509,Negative
1510,Positive
1511,Positive
1512,Neutral
1513,Neutral
1514,Negative
1515,Positive
1516,Positive
1517,Negative
1518,Positive
1519,Negative
1520,Positive
1521,Negative
1522,Neutral
1523,Positive
1524,Neutral
1525,Negative
1526,Neutral
1527,Negative
1528,Negative
1529,Negative
1530,Positive
1531,Positive
1532,Negative
1533,Positive
1534,Positive
1535,Negative
1536,Positive
1537,Negative
1538,Negative
1539,Negative
1540,Negative
1541,Positive
1542,Positive
1543,Neutral
1544,Positive
1545,Negative
1546,Negative
1547,Positive
1548,Negative
1549,Positive
1550,Negative
1551,Neutral
1552,Negative
1553,Neutral
1554,Neutral
1555,Negative
1556,Neutral
1557,Negative
1558,Neutral
1559,Positive
1560,Neutral
1561,Positive
1562,Positive
1563,Negative
1564,Positive
1565,Neutral
1566,Neutral
1567,Neutral
1568,Neutral
1569,Neutral
1570,Positive
1571,Positive
1572,Neutral
1573,Neutral
1574,Negative
1575,Neutral
1576,Positive
1577,Negative
1578,Positive
1579,Neutral
1580,Positive
1581,Neutral
1582,Positive
1583,Neutral
1584,Negative
1585,Negative
1586,Negative
1587,Neutral
1588,Negative
1589,Neutral
1590,Negative
1591,Neutral
1592,Neutral
1593,Neutral
1594,Positive
1595,Negative
1596,Neutral
1597,Neutral
1598,Negative
1599,Negative
1600,Negative
1601,Negative
1602,Positive
1603,Neutral
1604,Positive
1605,Negative
1606,Neutral
1607,Positive
1608,Neutral
1609,Neutral
1610,Negative
1611,Negative
1612,Positive
1613,Neutral
1614,Neutral
1615,Negative
1616,Neutral
1617,Neutral
1618,Negative
1619,Positive
1620,Positive
1621,Neutral
1622,Negative
1623,Negative
1624,Positive
1625,Positive
1626,Negative
1627,Negative
1628,Negative
1629,Neutral
1630,Neutral
1631,Positive
1632,Negative
1633,Neutral
1634,Positive
1635,Negative
1636,Neutral
1637,Negative
1638,Neutral
1639,Positive
1640,Positive
1641,Neutral
1642,Neutral
1643,Positive
1644,Positive
1645,Positive
1646,Neutral
1647,Negative
1648,Negative
1649,Negative
1650,Positive
1651,Neutral
1652,Positive
1653,Neutral
1654,Positive
1655,Neutral
1656,Neutral
1657,Negative
1658,Negative
1659,Neutral
1660,Positive
1661,Neutral
1662,Negative
1663,Negative
1664,Negative
1665,Negative
1666,Negative
1667,Negative
1668,Neutral
1669,Negative
1670,Negative
1671,Negative
1672,Neutral
1673,Positive
1674,Positive
1675,Positive
1676,Neutral
1677,Positive
1678,Positive
1679,Positive
1680,Neutral
1681,Negative
1682,Positive
1683,Negative
1684,Neutral
1685,Negative
1686,Negative
1687,Negative
1688,Positive
1689,Positive
1690,Positive
1691,Neutral
1692,Neutral
1693,Negative
1694,Positive
1695,Neutral
1696,Negative
1697,Neutral
1698,Negative
1699,Positive
1700,Negative
1701,Negative
1702,Negative
1703,Negative
1704,Negative
1705,Neutral
1706,Negative
1707,Neutral
1708,Negative
1709,Positive
1710,Negative
1711,Negative
1712,Positive
1713,Neutral
1714,Positive
1715,Positive
1716,Neutral
1717,Neutral
1718,Negative
1719,Neutral
1720,Negative
1721,Positive
1722,Negative
1723,Neutral
1724,Positive
1725,Negative
1726,Neutral
1727,Negative
1728,Positive
1729,Positive
1730,Negative
1731,Negative
1732,Positive
1733,Negative
1734,Neutral
1735,Neutral
1736,Negative
1737,Negative
1738,Positive
1739,Positive
1740,Positive
1741,Neutral
1742,Neutral
1743,Neutral
1744,Negative
1745,Neutral
1746,Neutral
1747,Negative
1748,Neutral
1749,Positive
1750,Negative
1751,Neutral
1752,Positive
1753,Positive
1754,Positive
1755,Neutral
1756,Negative
1757,Neutral
1758,Neutral
1759,Positive
1760,Neutral
1761,Positive
1762,Positive
1763,Negative
1764,Positive
1765,Positive
1766,Negative
1767,Negative
1768,Neutral
1769,Negative
1770,Positive
1771,Positive
1772,Negative
1773,Negative
1774,Positive
1775,Neutral
1776,Negative
1777,Positive
1778,Negative
1779,Positive
1780,Negative
1781,Neutral
1782,Positive
1783,Negative
1784,Positive
1785,Neutral
1786,Negative
1787,Neutral
1788,Positive
1789,Positive
1790,Negative
1791,Neutral
1792,Neutral
1793,Negative
1794,Negative
1795,Negative
1796,Negative
1797,Positive
1798,Neutral
1799,Negative
1800,Neutral
1801,Positive
1802,Negative
1803,Neutral
1804,Neutral
1805,Positive
1806,Positive
1807,Neutral
1808,Negative
1809,Positive
1810,Positive
1811,Negative
1812,Negative
1813,Neutral
1814,Neutral
1815,Negative
1816,Positive
1817,Positive
1818,Neutral
1819,Positive
1820,Neutral
1821,Neutral
1822,Positive
1823,Negative
1824,Neutral
1825,Negative
1826,Neutral
1827,Neutral
1828,Neutral
1829,Neutral
1830,Negative
1831,Neutral
1832,Neutral
1833,Negative
1834,Neutral
1835,Negative
1836,Positive
1837,Neutral
1838,Negative
1839,Negative
1840,Positive
1841,Negative
1842,Positive
1843,Negative
1844,Positive
1845,Positive
1846,Positive
1847,Positive
1848,Neutral
1849,Positive
1850,Positive
1851,Negative
1852,Neutral
1853,Neutral
1854,Negative
1855,Negative
1856,Negative
1857,Neutral
1858,Neutral
1859,Negative
1860,Negative
1861,Neutral
1862,Neutral
1863,Positive
1864,Neutral
1865,Neutral
1866,Negative
1867,Negative
1868,Positive
1869,Negative
1870,Neutral
1871,Neutral
1872,Neutral
1873,Positive
1874,Positive
1875,Positive
1876,Positive
1877,Neutral
1878,Neutral
1879,Positive
1880,Negative
1881,Neutral
1882,Negative
1883,Neutral
1884,Neutral
1885,Negative
1886,Positive
1887,Neutral
1888,Positive
1889,Neutral
1890,Positive
1891,Positive
1892,Positive
1893,Neutral
1894,Positive
1895,Neutral
1896,Negative
1897,Positive
1898,Negative
1899,Positive
1900,Negative
1901,Neutral
1902,Neutral
1903,Negative
1904,Positive
1905,Neutral
1906,Positive
1907,Neutral
1908,Negative
1909,Neutral
1910,Neutral
1911,Positive
1912,Negative
1913,Positive
1914,Positive
1915,Positive
1916,Negative
1917,Neutral
1918,Neutral
1919,Negative
1920,Positive
1921,Neutral
1922,Neutral
1923,Neutral
1924,Negative
1925,Positive
1926,Neutral
1927,Positive
1928,Negative
1929,Neutral
1930,Neutral
1931,Positive
1932,Positive
1933,Positive
1934,Negative
1935,Positive
1936,Neutral
1937,Positive
1938,Neutral
1939,Neutral
1940,Positive
1941,Negative
1942,Negative
1943,Positive
1944,Neutral
1945,Positive
1946,Positive
1947,Neutral
1948,Positive
1949,Neutral
1950,Neutral
1951,Positive
1952,Negative
1953,Negative
1954,Negative
1955,Negative
1956,Negative
1957,Positive
1958,Negative
1959,Positive
1960,Negative
1961,Positive
1962,Positive
1963,Neutral
1964,Negative
1965,Negative
1966,Positive
1967,Neutral
1968,Neutral
1969,Negative
1970,Neutral
1971,Positive
1972,Positive
1973,Positive
1974,Neutral
1975,Neutral
1976,Neutral
1977,Neutral
1978,Positive
1979,Negative
1980,Negative
1981,Negative
1982,Positive
1983,Negative
1984,Negative
1985,Positive
1986,Positive
1987,Negative
1988,Positive
1989,Neutral
1990,Neutral
1991,Negative
1992,Positive
1993,Negative
1994,Neutral
1995,Negative
1996,Positive
1997,Positive
1998,Negative
1999,Neutral
2000,Positive
2001,Neutral
2002,Neutral
2003,Positive
2004,Negative
2005,Negative
2006,Negative
2007,Neutral
2008,Negative
2009,Negative
2010,Negative
2011,Negative
2012,Negative
2013,Negative
2014,Neutral
2015,Positive
2016,Positive
2017,Negative
2018,Positive
2019,Negative
2020,Positive
2021,Neutral
2022,Positive
2023,Negative
2024,Negative
2025,Negative
2026,Negative
2027,Neutral
2028,Neutral
2029,Negative
2030,Positive
2031,Negative
2032,Neutral
2033,Neutral
2034,Positive
2035,Negative
2036,Positive
2037,Positive
2038,Negative
2039,Neutral
2040,Neutral
2041,Positive
2042,Positive
2043,Positive
2044,Positive
2045,Positive
